Time (s),Handle Position x (m),Handle Position y (m),Handle Position z (m),Handle Euler phi (rad),Handle Euler theta (rad),Handle Euler psi (rad),Reaction Force x (m),Reaction Force y (m),Reaction Force z (m),Reaction Moment x (m),Reaction Moment y (m),Reaction Moment z (m),Tip Position x (m),Tip Position y (m),Tip Position z (m),Tip Euler phi (rad),Tip Euler theta (rad),Tip Euler psi (rad),Input Force x (m),Input Force y (m),Input Force z (m),Input Moment x (m),Input Moment y (m),Input Moment z (m)
0.000000E+00,-7.650000E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,4.321004E+04,0.000000E+00,-3.305501E+03,0.000000E+00,3.388000E-01,0.000000E+00,-7.670000E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
1.000000E-02,-7.650000E-02,0.000000E+00,6.282152E-03,0.000000E+00,0.000000E+00,0.000000E+00,1.155596E-03,0.000000E+00,9.606703E-01,0.000000E+00,-2.067641E-02,0.000000E+00,3.387023E-01,0.000000E+00,-8.065736E-03,4.712389E+00,3.364950E-02,1.570796E+00,0.000000E+00,0.000000E+00,5.999800E-03,0.000000E+00,0.000000E+00,0.000000E+00
2.000000E-02,-7.650000E-02,0.000000E+00,1.255810E-02,0.000000E+00,0.000000E+00,0.000000E+00,1.170394E-03,0.000000E+00,9.286677E-01,0.000000E+00,-1.270754E-02,0.000000E+00,3.386787E-01,0.000000E+00,-2.613043E-03,4.712389E+00,3.798515E-02,1.570796E+00,0.000000E+00,0.000000E+00,1.199840E-02,0.000000E+00,0.000000E+00,0.000000E+00
3.000000E-02,-7.650000E-02,0.000000E+00,1.882166E-02,0.000000E+00,0.000000E+00,0.000000E+00,-6.324002E-04,0.000000E+00,8.846120E-01,0.000000E+00,-2.169733E-03,0.000000E+00,3.387640E-01,0.000000E+00,7.028171E-03,4.712389E+00,1.981816E-02,1.570796E+00,0.000000E+00,0.000000E+00,1.799460E-02,0.000000E+00,0.000000E+00,0.000000E+00
4.000000E-02,-7.650000E-02,0.000000E+00,2.506665E-02,0.000000E+00,0.000000E+00,0.000000E+00,-7.276173E-04,0.000000E+00,8.510711E-01,0.000000E+00,5.687124E-03,0.000000E+00,3.388005E-01,0.000000E+00,1.791245E-02,1.570796E+00,5.112114E-03,4.712389E+00,0.000000E+00,0.000000E+00,2.398721E-02,0.000000E+00,0.000000E+00,0.000000E+00
5.000000E-02,-7.650000E-02,0.000000E+00,3.128689E-02,0.000000E+00,0.000000E+00,0.000000E+00,-5.205875E-05,0.000000E+00,8.332627E-01,0.000000E+00,9.404513E-03,0.000000E+00,3.387565E-01,0.000000E+00,2.789659E-02,1.570796E+00,2.549741E-02,4.712389E+00,0.000000E+00,0.000000E+00,2.997502E-02,0.000000E+00,0.000000E+00,0.000000E+00
6.000000E-02,-7.650000E-02,0.000000E+00,3.747626E-02,0.000000E+00,0.000000E+00,0.000000E+00,1.690188E-04,0.000000E+00,8.260658E-01,0.000000E+00,1.024543E-02,0.000000E+00,3.387005E-01,0.000000E+00,3.629672E-02,1.570796E+00,3.775288E-02,4.712389E+00,0.000000E+00,0.000000E+00,3.595686E-02,0.000000E+00,0.000000E+00,0.000000E+00
7.000000E-02,-7.650000E-02,0.000000E+00,4.362865E-02,0.000000E+00,0.000000E+00,0.000000E+00,8.733929E-05,0.000000E+00,8.222127E-01,0.000000E+00,1.023294E-02,0.000000E+00,3.386673E-01,0.000000E+00,4.352037E-02,1.570796E+00,4.403401E-02,4.712389E+00,0.000000E+00,0.000000E+00,4.193153E-02,0.000000E+00,0.000000E+00,0.000000E+00
8.000000E-02,-7.650000E-02,0.000000E+00,4.973798E-02,0.000000E+00,0.000000E+00,0.000000E+00,-6.734720E-05,0.000000E+00,8.165243E-01,0.000000E+00,1.072029E-02,0.000000E+00,3.386437E-01,0.000000E+00,5.028110E-02,1.570796E+00,4.811206E-02,4.712389E+00,0.000000E+00,0.000000E+00,4.789786E-02,0.000000E+00,0.000000E+00,0.000000E+00
9.000000E-02,-7.650000E-02,0.000000E+00,5.579822E-02,0.000000E+00,0.000000E+00,0.000000E+00,-1.646058E-04,0.000000E+00,8.072421E-01,0.000000E+00,1.217800E-02,0.000000E+00,3.386119E-01,0.000000E+00,5.712711E-02,1.570796E+00,5.289590E-02,4.712389E+00,0.000000E+00,0.000000E+00,5.385467E-02,0.000000E+00,0.000000E+00,0.000000E+00
