


A.  .needle_dynamics.Last_Run.TIME (sec)
B.  .needle_dynamics.Last_Run.handle_XFORM.X (meter)
C.  .needle_dynamics.Last_Run.handle_XFORM.Y (meter)
D.  .needle_dynamics.Last_Run.handle_XFORM.Z (meter)

       A               B               C               D         
 0.000000E+00   -7.650000E-02    0.000000E+00    0.000000E+00   
 1.000000E-02   -7.650000E-02    0.000000E+00    6.282152E-03   
 2.000000E-02   -7.650000E-02    0.000000E+00    1.255810E-02   
 3.000000E-02   -7.650000E-02    0.000000E+00    1.882166E-02   
 4.000000E-02   -7.650000E-02    0.000000E+00    2.506665E-02   
 5.000000E-02   -7.650000E-02    0.000000E+00    3.128689E-02   
 6.000000E-02   -7.650000E-02    0.000000E+00    3.747626E-02   
 7.000000E-02   -7.650000E-02    0.000000E+00    4.362865E-02   
 8.000000E-02   -7.650000E-02    0.000000E+00    4.973798E-02   
 9.000000E-02   -7.650000E-02    0.000000E+00    5.579822E-02   
 1.000000E-01   -7.650000E-02    0.000000E+00    6.180340E-02   
 1.100000E-01   -7.650000E-02    0.000000E+00    6.774758E-02   
 1.200000E-01   -7.650000E-02    0.000000E+00    7.362491E-02   
 1.300000E-01   -7.650000E-02    0.000000E+00    7.942958E-02   
 1.400000E-01   -7.650000E-02    0.000000E+00    8.515586E-02   
 1.500000E-01   -7.650000E-02    0.000000E+00    9.079810E-02   
 1.600000E-01   -7.650000E-02    0.000000E+00    9.635073E-02   
 1.700000E-01   -7.650000E-02    0.000000E+00    1.018083E-01   
 1.800000E-01   -7.650000E-02    0.000000E+00    1.071654E-01   
 1.900000E-01   -7.650000E-02    0.000000E+00    1.124167E-01   
 2.000000E-01   -7.650000E-02    0.000000E+00    1.175571E-01   
 2.100000E-01   -7.650000E-02    0.000000E+00    1.225814E-01   
 2.200000E-01   -7.650000E-02    0.000000E+00    1.274848E-01   
 2.300000E-01   -7.650000E-02    0.000000E+00    1.322624E-01   
 2.400000E-01   -7.650000E-02    0.000000E+00    1.369094E-01   
 2.500000E-01   -7.650000E-02    0.000000E+00    1.414214E-01   
 2.600000E-01   -7.650000E-02    0.000000E+00    1.457937E-01   
 2.700000E-01   -7.650000E-02    0.000000E+00    1.500222E-01   
 2.800000E-01   -7.650000E-02    0.000000E+00    1.541026E-01   
 2.900000E-01   -7.650000E-02    0.000000E+00    1.580310E-01   
 3.000000E-01   -7.650000E-02    0.000000E+00    1.618034E-01   
 3.100000E-01   -7.650000E-02    0.000000E+00    1.654161E-01   
 3.200000E-01   -7.650000E-02    0.000000E+00    1.688656E-01   
 3.300000E-01   -7.650000E-02    0.000000E+00    1.721484E-01   
 3.400000E-01   -7.650000E-02    0.000000E+00    1.752613E-01   
 3.500000E-01   -7.650000E-02    0.000000E+00    1.782013E-01   
 3.600000E-01   -7.650000E-02    0.000000E+00    1.809654E-01   
 3.700000E-01   -7.650000E-02    0.000000E+00    1.835509E-01   
 3.800000E-01   -7.650000E-02    0.000000E+00    1.859553E-01   
 3.900000E-01   -7.650000E-02    0.000000E+00    1.881762E-01   
 4.000000E-01   -7.650000E-02    0.000000E+00    1.902113E-01   
 4.100000E-01   -7.650000E-02    0.000000E+00    1.920587E-01   
 4.200000E-01   -7.650000E-02    0.000000E+00    1.937166E-01   
 4.300000E-01   -7.650000E-02    0.000000E+00    1.951834E-01   
 4.400000E-01   -7.650000E-02    0.000000E+00    1.964575E-01   
 4.500000E-01   -7.650000E-02    0.000000E+00    1.975377E-01   
 4.600000E-01   -7.650000E-02    0.000000E+00    1.984229E-01   
 4.700000E-01   -7.650000E-02    0.000000E+00    1.991124E-01   
 4.800000E-01   -7.650000E-02    0.000000E+00    1.996053E-01   
 4.900000E-01   -7.650000E-02    0.000000E+00    1.999013E-01   
 5.000000E-01   -7.650000E-02    0.000000E+00    2.000000E-01   
 5.100000E-01   -7.650000E-02    0.000000E+00    1.999013E-01   
 5.200000E-01   -7.650000E-02    0.000000E+00    1.996053E-01   
 5.300000E-01   -7.650000E-02    0.000000E+00    1.991124E-01   
 5.400000E-01   -7.650000E-02    0.000000E+00    1.984229E-01   
 5.500000E-01   -7.650000E-02    0.000000E+00    1.975377E-01   
 5.600000E-01   -7.650000E-02    0.000000E+00    1.964575E-01   
 5.700000E-01   -7.650000E-02    0.000000E+00    1.951834E-01   
 5.800000E-01   -7.650000E-02    0.000000E+00    1.937166E-01   
 5.900000E-01   -7.650000E-02    0.000000E+00    1.920587E-01   
 6.000000E-01   -7.650000E-02    0.000000E+00    1.902113E-01   
 6.100000E-01   -7.650000E-02    0.000000E+00    1.881762E-01   
 6.200000E-01   -7.650000E-02    0.000000E+00    1.859553E-01   
 6.300000E-01   -7.650000E-02    0.000000E+00    1.835509E-01   
 6.400000E-01   -7.650000E-02    0.000000E+00    1.809654E-01   
 6.500000E-01   -7.650000E-02    0.000000E+00    1.782013E-01   
 6.600000E-01   -7.650000E-02    0.000000E+00    1.752613E-01   
 6.700000E-01   -7.650000E-02    0.000000E+00    1.721484E-01   
 6.800000E-01   -7.650000E-02    0.000000E+00    1.688656E-01   
 6.900000E-01   -7.650000E-02    0.000000E+00    1.654161E-01   
 7.000000E-01   -7.650000E-02    0.000000E+00    1.618034E-01   
 7.100000E-01   -7.650000E-02    0.000000E+00    1.580310E-01   
 7.200000E-01   -7.650000E-02    0.000000E+00    1.541026E-01   
 7.300000E-01   -7.650000E-02    0.000000E+00    1.500222E-01   
 7.400000E-01   -7.650000E-02    0.000000E+00    1.457937E-01   
 7.500000E-01   -7.650000E-02    0.000000E+00    1.414214E-01   
 7.600000E-01   -7.650000E-02    0.000000E+00    1.369094E-01   
 7.700000E-01   -7.650000E-02    0.000000E+00    1.322624E-01   
 7.800000E-01   -7.650000E-02    0.000000E+00    1.274848E-01   
 7.900000E-01   -7.650000E-02    0.000000E+00    1.225814E-01   
 8.000000E-01   -7.650000E-02    0.000000E+00    1.175571E-01   
 8.100000E-01   -7.650000E-02    0.000000E+00    1.124167E-01   
 8.200000E-01   -7.650000E-02    0.000000E+00    1.071654E-01   
 8.300000E-01   -7.650000E-02    0.000000E+00    1.018083E-01   
 8.400000E-01   -7.650000E-02    0.000000E+00    9.635073E-02   
 8.500000E-01   -7.650000E-02    0.000000E+00    9.079810E-02   
