


A.  .needle_dynamics.Last_Run.TIME (sec)
B.  .needle_dynamics.Last_Run.MOTION_1.motion_t1.FX (newton)
C.  .needle_dynamics.Last_Run.MOTION_1.motion_t2.FY (newton)
D.  .needle_dynamics.Last_Run.MOTION_1.motion_t3.FZ (newton)

       A               B               C               D         
 0.000000E+00   -8.616770E+02    0.000000E+00    3.941519E+04   
 5.000000E-03   -1.305636E-03    0.000000E+00    9.478161E-01   
 1.000000E-02    3.320649E-04    0.000000E+00    9.443743E-01   
 1.500000E-02    1.192216E-03    0.000000E+00    9.354958E-01   
 2.000000E-02    1.150688E-03    0.000000E+00    9.203335E-01   
 2.500000E-02    6.753215E-04    0.000000E+00    9.017187E-01   
 3.000000E-02    1.079330E-04    0.000000E+00    8.854553E-01   
 3.500000E-02   -2.492795E-04    0.000000E+00    8.684161E-01   
 4.000000E-02   -4.001444E-04    0.000000E+00    8.553410E-01   
 4.500000E-02   -4.035518E-04    0.000000E+00    8.451688E-01   
 5.000000E-02   -3.452265E-04    0.000000E+00    8.377090E-01   
 5.500000E-02   -2.831146E-04    0.000000E+00    8.329321E-01   
 6.000000E-02   -2.318690E-04    0.000000E+00    8.294626E-01   
 6.500000E-02   -1.993982E-04    0.000000E+00    8.249820E-01   
 7.000000E-02   -1.765807E-04    0.000000E+00    8.238637E-01   
 7.500000E-02   -1.389495E-04    0.000000E+00    8.194335E-01   
 8.000000E-02   -9.794613E-05    0.000000E+00    8.155669E-01   
 8.500000E-02   -5.685258E-05    0.000000E+00    8.118969E-01   
 9.000000E-02   -2.570276E-05    0.000000E+00    8.068851E-01   
 9.500000E-02   -1.043507E-05    0.000000E+00    8.007981E-01   
 1.000000E-01   -1.128268E-05    0.000000E+00    7.949726E-01   
 1.050000E-01   -2.233892E-05    0.000000E+00    7.896202E-01   
 1.100000E-01   -3.537718E-05    0.000000E+00    7.821954E-01   
 1.150000E-01   -5.004606E-05    0.000000E+00    7.757172E-01   
 1.200000E-01   -6.250704E-05    0.000000E+00    7.695914E-01   
 1.250000E-01   -6.777416E-05    0.000000E+00    7.610179E-01   
 1.300000E-01   -7.828664E-05    0.000000E+00    7.599731E-01   
 1.350000E-01   -7.278448E-05    0.000000E+00    7.513896E-01   
 1.400000E-01   -6.952549E-05    0.000000E+00    7.464807E-01   
 1.450000E-01   -6.248109E-05    0.000000E+00    7.412222E-01   
 1.500000E-01   -5.560153E-05    0.000000E+00    7.368406E-01   
 1.550000E-01   -4.551437E-05    0.000000E+00    7.306059E-01   
 1.600000E-01   -3.723424E-05    0.000000E+00    7.252353E-01   
 1.650000E-01   -2.998793E-05    0.000000E+00    7.200651E-01   
 1.700000E-01   -1.962769E-05    0.000000E+00    7.124310E-01   
 1.750000E-01   -2.236932E-05    0.000000E+00    7.116295E-01   
 1.800000E-01   -1.314134E-05    0.000000E+00    7.035486E-01   
 1.850000E-01   -1.159379E-05    0.000000E+00    6.987494E-01   
 1.900000E-01   -9.018446E-06    0.000000E+00    6.935190E-01   
 1.950000E-01   -6.508801E-06    0.000000E+00    6.881754E-01   
 2.000000E-01   -4.018793E-06    0.000000E+00    6.829130E-01   
 2.050000E-01   -1.206582E-06    0.000000E+00    6.776935E-01   
 2.100000E-01    1.986187E-06    0.000000E+00    6.725204E-01   
 2.150000E-01    5.553673E-06    0.000000E+00    6.673947E-01   
 2.200000E-01    9.439687E-06    0.000000E+00    6.623150E-01   
 2.250000E-01    1.355276E-05    0.000000E+00    6.572790E-01   
 2.300000E-01    1.778931E-05    0.000000E+00    6.522838E-01   
 2.350000E-01    2.205251E-05    0.000000E+00    6.473267E-01   
 2.400000E-01    2.626414E-05    0.000000E+00    6.424057E-01   
 2.450000E-01    3.037030E-05    0.000000E+00    6.375195E-01   
 2.500000E-01    3.434212E-05    0.000000E+00    6.326679E-01   
 2.550000E-01    3.817245E-05    0.000000E+00    6.278512E-01   
 2.600000E-01    4.186851E-05    0.000000E+00    6.230705E-01   
 2.650000E-01    4.545692E-05    0.000000E+00    6.183271E-01   
