


A.  .needle_dynamics.Last_Run.TIME (sec)
B.  .needle_dynamics.Last_Run.needle_XFORM.PHI52 (rad)
C.  .needle_dynamics.Last_Run.needle_XFORM.THETA52 (rad)
D.  .needle_dynamics.Last_Run.needle_XFORM.PSI52 (rad)

       A               B               C               D         
 0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00   
 5.000000E-03    4.712389E+00    1.708050E-02    1.570796E+00   
 1.000000E-02    4.712389E+00    3.124576E-02    1.570796E+00   
 1.500000E-02    4.712389E+00    3.914787E-02    1.570796E+00   
 2.000000E-02    4.712389E+00    4.131978E-02    1.570796E+00   
 2.500000E-02    4.712389E+00    3.901992E-02    1.570796E+00   
 3.000000E-02    4.712389E+00    3.359162E-02    1.570796E+00   
 3.500000E-02    4.712389E+00    2.663582E-02    1.570796E+00   
 4.000000E-02    4.712389E+00    1.946664E-02    1.570796E+00   
 4.500000E-02    4.712389E+00    1.302325E-02    1.570796E+00   
 5.000000E-02    4.712389E+00    7.875709E-03    1.570796E+00   
 5.500000E-02    4.712389E+00    4.244670E-03    1.570796E+00   
 6.000000E-02    4.712389E+00    2.013387E-03    1.570796E+00   
 6.500000E-02    4.712389E+00    9.461722E-04    1.570796E+00   
 7.000000E-02    4.712389E+00    8.071510E-04    1.570796E+00   
 7.500000E-02    4.712389E+00    1.194925E-03    1.570796E+00   
 8.000000E-02    4.712389E+00    1.792959E-03    1.570796E+00   
 8.500000E-02    4.712389E+00    2.320294E-03    1.570796E+00   
 9.000000E-02    4.712389E+00    2.559931E-03    1.570796E+00   
 9.500000E-02    4.712389E+00    2.404978E-03    1.570796E+00   
 1.000000E-01    4.712389E+00    1.836264E-03    1.570796E+00   
 1.050000E-01    4.712389E+00    9.127414E-04    1.570796E+00   
 1.100000E-01    1.570796E+00    2.832269E-04    4.712389E+00   
 1.150000E-01    1.570796E+00    1.662177E-03    4.712389E+00   
 1.200000E-01    1.570796E+00    3.138983E-03    4.712389E+00   
 1.250000E-01    1.570796E+00    4.661541E-03    4.712389E+00   
 1.300000E-01    1.570796E+00    6.153296E-03    4.712389E+00   
 1.350000E-01    1.570796E+00    7.565185E-03    4.712389E+00   
 1.400000E-01    1.570796E+00    8.881681E-03    4.712389E+00   
 1.450000E-01    1.570796E+00    1.010975E-02    4.712389E+00   
 1.500000E-01    1.570796E+00    1.127383E-02    4.712389E+00   
 1.550000E-01    1.570796E+00    1.239948E-02    4.712389E+00   
 1.600000E-01    1.570796E+00    1.351158E-02    4.712389E+00   
 1.650000E-01    1.570796E+00    1.463200E-02    4.712389E+00   
 1.700000E-01    1.570796E+00    1.577425E-02    4.712389E+00   
 1.750000E-01    1.570796E+00    1.695506E-02    4.712389E+00   
 1.800000E-01    1.570796E+00    1.818290E-02    4.712389E+00   
 1.850000E-01    1.570796E+00    1.945884E-02    4.712389E+00   
