


A.  .needle_dynamics.Last_Run.TIME (sec)
B.  .needle_dynamics.Last_Run.MOTION_1.motion_r1.TX (newton-meter)
C.  .needle_dynamics.Last_Run.MOTION_1.motion_r2.TY (newton-meter)
D.  .needle_dynamics.Last_Run.MOTION_1.motion_r3.TZ (newton-meter)

       A               B               C               D         
 0.000000E+00    3.631295E+02   -3.869805E+03    3.621618E+03   
 5.000000E-03    8.272794E-04   -1.654670E-02    2.448014E-02   
 1.000000E-02    8.577832E-04   -1.621829E-02    2.184347E-02   
 1.500000E-02    7.398776E-04   -1.388528E-02    1.630676E-02   
 2.000000E-02    4.998152E-04   -1.030630E-02    9.302093E-03   
 2.500000E-02    1.774561E-04   -6.172512E-03    2.045559E-03   
 3.000000E-02   -1.769442E-04   -2.114208E-03   -4.462352E-03   
 3.500000E-02   -5.186906E-04    1.462923E-03   -9.645513E-03   
 4.000000E-02   -8.141299E-04    4.335979E-03   -1.327485E-02   
 4.500000E-02   -1.043873E-03    6.443917E-03   -1.540070E-02   
 5.000000E-02   -1.203691E-03    7.850718E-03   -1.627343E-02   
 5.500000E-02   -1.302534E-03    8.700116E-03   -1.625514E-02   
 6.000000E-02   -1.359288E-03    9.177544E-03   -1.574193E-02   
 6.500000E-02   -1.396610E-03    9.462079E-03   -1.508365E-02   
 7.000000E-02   -1.437396E-03    9.707395E-03   -1.455408E-02   
 7.500000E-02   -1.501700E-03    1.003012E-02   -1.433616E-02   
 8.000000E-02   -1.604022E-03    1.050290E-02   -1.451759E-02   
 8.500000E-02   -1.751799E-03    1.115431E-02   -1.510098E-02   
 9.000000E-02   -1.945589E-03    1.197680E-02   -1.602650E-02   
 9.500000E-02   -2.180491E-03    1.293860E-02   -1.719911E-02   
 1.000000E-01   -2.448115E-03    1.399584E-02   -1.851324E-02   
 1.050000E-01   -2.738598E-03    1.510258E-02   -1.987145E-02   
 1.100000E-01   -3.042351E-03    1.621802E-02   -2.119634E-02   
 1.150000E-01   -3.351372E-03    1.731090E-02   -2.243624E-02   
