


A.  .needle_dynamics.Last_Run.TIME (sec)
B.  .needle_dynamics.Last_Run.NodeForce_52.FX (newton)
C.  .needle_dynamics.Last_Run.NodeForce_52.FY (newton)
D.  .needle_dynamics.Last_Run.NodeForce_52.FZ (newton)

       A               B               C               D         
 0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00   
 5.000000E-03    0.000000E+00    0.000000E+00    2.498187E-04   
 1.000000E-02    0.000000E+00    0.000000E+00    5.435112E-05   
 1.500000E-02    0.000000E+00    0.000000E+00   -1.942296E-04   
 2.000000E-02    0.000000E+00    0.000000E+00   -4.550367E-04   
 2.500000E-02    0.000000E+00    0.000000E+00   -7.009260E-04   
 3.000000E-02    0.000000E+00    0.000000E+00   -9.198106E-04   
 3.500000E-02    0.000000E+00    0.000000E+00   -1.107423E-03   
 4.000000E-02    0.000000E+00    0.000000E+00   -1.266664E-03   
 4.500000E-02    0.000000E+00    0.000000E+00   -1.405995E-03   
 5.000000E-02    0.000000E+00    0.000000E+00   -1.535029E-03   
 5.500000E-02    0.000000E+00    0.000000E+00   -1.662615E-03   
 6.000000E-02    0.000000E+00    0.000000E+00   -1.792760E-03   
 6.500000E-02    0.000000E+00    0.000000E+00   -1.927009E-03   
 7.000000E-02    0.000000E+00    0.000000E+00   -2.065660E-03   
 7.500000E-02    0.000000E+00    0.000000E+00   -2.209147E-03   
 8.000000E-02    0.000000E+00    0.000000E+00   -2.354539E-03   
 8.500000E-02    0.000000E+00    0.000000E+00   -2.500308E-03   
 9.000000E-02    0.000000E+00    0.000000E+00   -2.646398E-03   
 9.500000E-02    0.000000E+00    0.000000E+00   -2.790817E-03   
 1.000000E-01    0.000000E+00    0.000000E+00   -2.934131E-03   
 1.050000E-01    0.000000E+00    0.000000E+00   -3.076185E-03   
 1.100000E-01    0.000000E+00    0.000000E+00   -3.216882E-03   
 1.150000E-01    0.000000E+00    0.000000E+00   -3.356301E-03   
 1.200000E-01    0.000000E+00    0.000000E+00   -3.494578E-03   
 1.250000E-01    0.000000E+00    0.000000E+00   -3.631856E-03   
 1.300000E-01    0.000000E+00    0.000000E+00   -3.768242E-03   
