


A.  .needle_dynamics.Last_Run.TIME (sec)
B.  .needle_dynamics.Last_Run.needle_XFORM.X52 (meter)
C.  .needle_dynamics.Last_Run.needle_XFORM.Y52 (meter)
D.  .needle_dynamics.Last_Run.needle_XFORM.Z52 (meter)

       A               B               C               D         
 0.000000E+00    3.388000E-01    0.000000E+00   -7.670000E-03   
 5.000000E-03    3.387899E-01    0.000000E+00   -8.184277E-03   
 1.000000E-02    3.387693E-01    0.000000E+00   -8.274244E-03   
 1.500000E-02    3.387472E-01    0.000000E+00   -7.888417E-03   
 2.000000E-02    3.387279E-01    0.000000E+00   -7.149995E-03   
 2.500000E-02    3.387114E-01    0.000000E+00   -6.202352E-03   
 3.000000E-02    3.386959E-01    0.000000E+00   -5.161529E-03   
 3.500000E-02    3.386792E-01    0.000000E+00   -4.124323E-03   
 4.000000E-02    3.386590E-01    0.000000E+00   -3.157057E-03   
 4.500000E-02    3.386340E-01    0.000000E+00   -2.282232E-03   
 5.000000E-02    3.386037E-01    0.000000E+00   -1.492848E-03   
 5.500000E-02    3.385683E-01    0.000000E+00   -7.618136E-04   
 6.000000E-02    3.385285E-01    0.000000E+00   -6.515116E-05   
 6.500000E-02    3.384849E-01    0.000000E+00    6.165636E-04   
 7.000000E-02    3.384384E-01    0.000000E+00    1.297426E-03   
 7.500000E-02    3.383887E-01    0.000000E+00    1.990197E-03   
 8.000000E-02    3.383373E-01    0.000000E+00    2.694363E-03   
 8.500000E-02    3.382841E-01    0.000000E+00    3.406756E-03   
 9.000000E-02    3.382300E-01    0.000000E+00    4.122634E-03   
 9.500000E-02    3.381736E-01    0.000000E+00    4.841966E-03   
 1.000000E-01    3.381148E-01    0.000000E+00    5.561471E-03   
 1.050000E-01    3.380537E-01    0.000000E+00    6.278710E-03   
 1.100000E-01    3.379902E-01    0.000000E+00    6.991946E-03   
 1.150000E-01    3.379242E-01    0.000000E+00    7.700144E-03   
 1.200000E-01    3.378560E-01    0.000000E+00    8.402881E-03   
 1.250000E-01    3.377855E-01    0.000000E+00    9.100165E-03   
 1.300000E-01    3.377128E-01    0.000000E+00    9.792247E-03   
 1.350000E-01    3.376381E-01    0.000000E+00    1.047946E-02   
 1.400000E-01    3.375615E-01    0.000000E+00    1.116209E-02   
 1.450000E-01    3.374831E-01    0.000000E+00    1.184032E-02   
 1.500000E-01    3.374030E-01    0.000000E+00    1.251419E-02   
 1.550000E-01    3.373213E-01    0.000000E+00    1.318365E-02   
 1.600000E-01    3.372380E-01    0.000000E+00    1.384851E-02   
 1.650000E-01    3.371533E-01    0.000000E+00    1.450855E-02   
 1.700000E-01    3.370672E-01    0.000000E+00    1.516352E-02   
 1.750000E-01    3.369798E-01    0.000000E+00    1.581317E-02   
 1.800000E-01    3.368912E-01    0.000000E+00    1.645727E-02   
 1.850000E-01    3.368015E-01    0.000000E+00    1.709559E-02   
 1.900000E-01    3.367107E-01    0.000000E+00    1.772796E-02   
 1.950000E-01    3.366189E-01    0.000000E+00    1.835421E-02   
 2.000000E-01    3.365263E-01    0.000000E+00    1.897419E-02   
 2.050000E-01    3.364328E-01    0.000000E+00    1.958774E-02   
 2.100000E-01    3.363387E-01    0.000000E+00    2.019473E-02   
 2.150000E-01    3.362440E-01    0.000000E+00    2.079502E-02   
 2.200000E-01    3.361488E-01    0.000000E+00    2.138845E-02   
 2.250000E-01    3.360532E-01    0.000000E+00    2.197487E-02   
 2.300000E-01    3.359573E-01    0.000000E+00    2.255412E-02   
 2.350000E-01    3.358611E-01    0.000000E+00    2.312605E-02   
 2.400000E-01    3.357649E-01    0.000000E+00    2.369050E-02   
 2.450000E-01    3.356686E-01    0.000000E+00    2.424731E-02   
 2.500000E-01    3.355723E-01    0.000000E+00    2.479632E-02   
